Freq:2500000000
Bias:                0.17ms of 10000 times

thread(0) id:2904
                              :      Self Time       ms,      Full Time       ms,      Self Avg Time   ms,      Full Avg Time   ms,      Full Max Time   ms
     RegisterPlugin2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     RegisterPlugin3(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Cloud_SetTextExtInfo(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    Cloud_SetIsCloud(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Cloud_DrawCandString(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Cloud_MeasureCandString(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Cloud_TimerCandString(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
  Cloud_RelayoutComp(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Cloud_ShowMenu(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Cloud_TimerCompRichItem(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    Cloud_Unserilize(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       Cloud_Request(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        Cloud_Cancel(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
  Cloud_SignalToStop(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          Cloud_Send(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Cloud_StubInit(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
  Cloud_GetCandEntry(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         Cloud_Reset(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
  Cloud_StubAyncInit(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          Cloud_Stop(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      Cloud_CloseJob(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
    Cloud_ReleaseJob(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
  Cloud_RequestCloud(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         Cloud_Shade(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       Cloud_Connect(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 Cloud_CloseAllPipes(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Cloud_FillPrimaryEntry(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
Cloud_FillMorePraseEntry(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       Cloud_Convert(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
